pack_category,pack_name,korean,translation
Beginner 1,S1 - Introduction,인사말,"Greeting"
Beginner 1,S1 - Introduction,반가워요,"Nice to meet you"
Beginner 1,S1 - Introduction,반갑습니다,"Nice to meet you"
Beginner 1,S1 - Introduction,만나서 반갑습니다,"Nice to meet you"
Beginner 1,S1 - Introduction,처음 뵙겠습니다,"Nice to meet you for the first time"
Beginner 1,S1 - Introduction,죄송해요,"I'm sorry"
Beginner 1,S1 - Introduction,죄송합니다,"I'm sorry"
Beginner 1,S1 - Introduction,미안해요,"I'm sorry"
Beginner 1,S1 - Introduction,미안합니다,"I'm sorry"
Beginner 1,S1 - Introduction,고마워요,"Thank you"
Beginner 1,S1 - Introduction,고맙습니다,"Thank you"
Beginner 1,S1 - Introduction,감사해요,"Thank you"
Beginner 1,S1 - Introduction,감사합니다,"Thank you"
Beginner 1,S1 - Introduction,안녕히 가세요,"Goodbye (to someone leaving)"
Beginner 1,S1 - Introduction,안녕히 계세요,"Goodbye (to someone staying)"
Beginner 1,S1 - Introduction,안녕히 주무세요,"Good night"
Beginner 1,S1 - Introduction,잘자(요),"Good night"
Beginner 1,S1 - Introduction,생일 축하해요,"Happy birthday"
Beginner 1,S1 - Introduction,생일 축하합니다,"Happy birthday"
Beginner 1,S1 - Introduction,나라,"Country"
Beginner 1,S1 - Introduction,한국,"Korea"
Beginner 1,S1 - Introduction,베트남,"Vietnam"
Beginner 1,S1 - Introduction,말레이시아,"Malaysia"
Beginner 1,S1 - Introduction,일본,"Japan"
Beginner 1,S1 - Introduction,미국,"USA"
Beginner 1,S1 - Introduction,중국,"China"
Beginner 1,S1 - Introduction,태국,"Thailand"
Beginner 1,S1 - Introduction,호주,"Australia"
Beginner 1,S1 - Introduction,몽골,"Mongolia"
Beginner 1,S1 - Introduction,인도네시아,"Indonesia"
Beginner 1,S1 - Introduction,필리핀,"Philippines"
Beginner 1,S1 - Introduction,인도,"India"
Beginner 1,S1 - Introduction,영국,"UK"
Beginner 1,S1 - Introduction,독일,"Germany"
Beginner 1,S1 - Introduction,프랑스,"France"
Beginner 1,S1 - Introduction,러시아,"Russia"
Beginner 1,S1 - Introduction,멕시코,"Mexico"
Beginner 1,S1 - Introduction,사우디아라비아,"Saudi Arabia"
Beginner 1,S1 - Introduction,스웨덴,"Sweden"
Beginner 1,S1 - Introduction,카자흐스탄,"Kazakhstan"
Beginner 1,S1 - Introduction,폴란드,"Poland"
Beginner 1,S1 - Introduction,브라질,"Brazil"
Beginner 1,S1 - Introduction,우즈베키스탄,"Uzbekistan"
Beginner 1,S1 - Introduction,칠레,"Chile"
Beginner 1,S1 - Introduction,이탈리아,"Italy"
Beginner 1,S1 - Introduction,학생,"Student"
Beginner 1,S1 - Introduction,회사원,"Office worker"
Beginner 1,S1 - Introduction,은행원,"Bank clerk"
Beginner 1,S1 - Introduction,선생님,"Teacher"
Beginner 1,S1 - Introduction,의사,"Doctor"
Beginner 1,S1 - Introduction,공무원,"Civil servant"
Beginner 1,S1 - Introduction,관광 가이드,"Tour guide"
Beginner 1,S1 - Introduction,주부,"Housewife"
Beginner 1,S1 - Introduction,가수,"Singer"
Beginner 1,S1 - Introduction,배우,"Actor / Actress"
Beginner 1,S1 - Introduction,기자,"Journalist / Reporter"
Beginner 1,S1 - Introduction,선수,"Player / Athlete"
Beginner 1,S1 - Introduction,변호사,"Lawyer"
Beginner 1,S1 - Introduction,통역사,"Interpreter"
Beginner 1,S1 - Introduction,소설가,"Novelist"
Beginner 1,S1 - Introduction,약사,"Pharmacist"
Beginner 1,S1 - Introduction,운전기사,"Driver"
Beginner 1,S2 - School,장소,"Place"
Beginner 1,S2 - School,학교,"School"
Beginner 1,S2 - School,도서관,"Library"
Beginner 1,S2 - School,식당,"Restaurant / Cafeteria"
Beginner 1,S2 - School,호텔,"Hotel"
Beginner 1,S2 - School,극장,"Theater"
Beginner 1,S2 - School,우체국,"Post office"
Beginner 1,S2 - School,병원,"Hospital"
Beginner 1,S2 - School,은행,"Bank"
Beginner 1,S2 - School,백화점,"Department store"
Beginner 1,S2 - School,약국,"Pharmacy"
Beginner 1,S2 - School,가게,"Shop / Store"
Beginner 1,S2 - School,사무실,"Office"
Beginner 1,S2 - School,강의실,"Lecture room / Classroom"
Beginner 1,S2 - School,교실,"Classroom"
Beginner 1,S2 - School,화장실,"Restroom / Toilet"
Beginner 1,S2 - School,휴게실,"Lounge / Rest area"
Beginner 1,S2 - School,랩실(어학실),"Lab room"
Beginner 1,S2 - School,동아리방,"Club room"
Beginner 1,S2 - School,체육관,"Gymnasium"
Beginner 1,S2 - School,운동장,"Playground / Sports field"
Beginner 1,S2 - School,강당,"Auditorium / Great hall"
Beginner 1,S2 - School,학생 식당,"Student cafeteria"
Beginner 1,S2 - School,세미나실,"Seminar room"
Beginner 1,S2 - School,서점,"Bookstore"
Beginner 1,S2 - School,책상,"Desk"
Beginner 1,S2 - School,의자,"Chair"
Beginner 1,S2 - School,칠판,"Blackboard"
Beginner 1,S2 - School,문,"Door"
Beginner 1,S2 - School,창문,"Window"
Beginner 1,S2 - School,시계,"Clock / Watch"
Beginner 1,S2 - School,가방,"Bag / Backpack"
Beginner 1,S2 - School,컴퓨터,"Computer"
Beginner 1,S2 - School,책,"Book"
Beginner 1,S2 - School,공책,"Notebook"
Beginner 1,S2 - School,사전,"Dictionary"
Beginner 1,S2 - School,지우개,"Eraser"
Beginner 1,S2 - School,지도,"Map"
Beginner 1,S2 - School,펜,"Pen"
Beginner 1,S2 - School,필통,"Pencil case"
Beginner 1,S2 - School,이,"This"
Beginner 1,S2 - School,그,"That"
Beginner 1,S2 - School,저,"That (over there)"
Beginner 1,S2 - School,이것은 (이건),"This thing"
Beginner 1,S2 - School,그것은 (그건),"That thing"
Beginner 1,S2 - School,저것은 (저건),"That thing (over there)"
Beginner 1,S2 - School,여기,"Here (near speaker)"
Beginner 1,S2 - School,거기,"There (near listener)"
Beginner 1,S2 - School,저기,"Over there (far from both)"
Beginner 1,S3 - Daily Life,가다,"Go"
Beginner 1,S3 - Daily Life,오다,"Come"
Beginner 1,S3 - Daily Life,자다,"Sleep"
Beginner 1,S3 - Daily Life,먹다,"Eat"
Beginner 1,S3 - Daily Life,마시다,"Drink"
Beginner 1,S3 - Daily Life,이야기하다,"Talk / Speak"
Beginner 1,S3 - Daily Life,읽다,"Read"
Beginner 1,S3 - Daily Life,듣다,"Listen / Hear"
Beginner 1,S3 - Daily Life,보다,"See / Look / Watch"
Beginner 1,S3 - Daily Life,일하다,"Work"
Beginner 1,S3 - Daily Life,공부하다,"Study"
Beginner 1,S3 - Daily Life,운동하다,"Exercise / Workout"
Beginner 1,S3 - Daily Life,쉬다,"Rest"
Beginner 1,S3 - Daily Life,만나다,"Meet"
Beginner 1,S3 - Daily Life,사다,"Buy"
Beginner 1,S3 - Daily Life,좋아하다,"Like"
Beginner 1,S3 - Daily Life,크다,"Big / Large"
Beginner 1,S3 - Daily Life,작다,"Small"
Beginner 1,S3 - Daily Life,많다,"Many / Much"
Beginner 1,S3 - Daily Life,적다,"Few / Little"
Beginner 1,S3 - Daily Life,좋다,"Good"
Beginner 1,S3 - Daily Life,나쁘다,"Bad"
Beginner 1,S3 - Daily Life,재미있다,"Fun / Interesting"
Beginner 1,S3 - Daily Life,재미없다,"Not fun / Boring"
Beginner 1,S3 - Daily Life,차,"Tea"
Beginner 1,S3 - Daily Life,빵,"Bread"
Beginner 1,S3 - Daily Life,커피,"Coffee"
Beginner 1,S3 - Daily Life,우유,"Milk"
Beginner 1,S3 - Daily Life,영화,"Movie"
Beginner 1,S3 - Daily Life,음악,"Music"
Beginner 1,S3 - Daily Life,신문,"Newspaper"
Beginner 1,S3 - Daily Life,친구,"Friend"
Beginner 1,S3 - Daily Life,무엇,"What"
Beginner 1,S3 - Daily Life,어디,"Where"
Beginner 1,S3 - Daily Life,누구,"Who"
Beginner 1,S3 - Daily Life,언제,"When"
Beginner 1,S3 - Daily Life,무슨,"What (with noun)"
Beginner 1,S3 - Daily Life,어떤,"What kind of (with noun)"
Beginner 1,S3 - Daily Life,어느,"Which (with noun)"
Beginner 1,S3 - Daily Life,왜,"Why"
Beginner 1,S4 - Dates and Days,일요일,"Sunday"
Beginner 1,S4 - Dates and Days,월요일,"Monday"
Beginner 1,S4 - Dates and Days,화요일,"Tuesday"
Beginner 1,S4 - Dates and Days,수요일,"Wednesday"
Beginner 1,S4 - Dates and Days,목요일,"Thursday"
Beginner 1,S4 - Dates and Days,금요일,"Friday"
Beginner 1,S4 - Dates and Days,토요일,"Saturday"
Beginner 1,S4 - Dates and Days,일,"Day"
Beginner 1,S4 - Dates and Days,월,"Month"
Beginner 1,S4 - Dates and Days,년,"Year"
Beginner 1,S4 - Dates and Days,요일,"Day of the week"
Beginner 1,S4 - Dates and Days,영/공,"Zero"
Beginner 1,S4 - Dates and Days,일,"One"
Beginner 1,S4 - Dates and Days,십,"Ten"
Beginner 1,S4 - Dates and Days,백,"Hundred"
Beginner 1,S4 - Dates and Days,천,"Thousand"
Beginner 1,S4 - Dates and Days,만,"Ten thousand"
Beginner 1,S4 - Dates and Days,십만,"Hundred thousand"
Beginner 1,S4 - Dates and Days,백만,"Million"
Beginner 1,S4 - Dates and Days,이,"Two"
Beginner 1,S4 - Dates and Days,삼,"Three"
Beginner 1,S4 - Dates and Days,사,"Four"
Beginner 1,S4 - Dates and Days,오,"Five"
Beginner 1,S4 - Dates and Days,육,"Six"
Beginner 1,S4 - Dates and Days,칠,"Seven"
Beginner 1,S4 - Dates and Days,팔,"Eight"
Beginner 1,S4 - Dates and Days,구,"Nine"
Beginner 1,S4 - Dates and Days,십일,"Eleven"
Beginner 1,S4 - Dates and Days,십이,"Twelve"
Beginner 1,S4 - Dates and Days,십삼,"Thirteen"
Beginner 1,S4 - Dates and Days,십사,"Fourteen"
Beginner 1,S4 - Dates and Days,십오,"Fifteen"
Beginner 1,S4 - Dates and Days,십육,"Sixteen"
Beginner 1,S4 - Dates and Days,십칠,"Seventeen"
Beginner 1,S4 - Dates and Days,십팔,"Eighteen"
Beginner 1,S4 - Dates and Days,십구,"Nineteen"
Beginner 1,S4 - Dates and Days,이십,"Twenty"
Beginner 1,S4 - Dates and Days,일월,"January"
Beginner 1,S4 - Dates and Days,이월,"February"
Beginner 1,S4 - Dates and Days,삼월,"March"
Beginner 1,S4 - Dates and Days,사월,"April"
Beginner 1,S4 - Dates and Days,오월,"May"
Beginner 1,S4 - Dates and Days,유월,"June"
Beginner 1,S4 - Dates and Days,칠월,"July"
Beginner 1,S4 - Dates and Days,팔월,"August"
Beginner 1,S4 - Dates and Days,구월,"September"
Beginner 1,S4 - Dates and Days,시월,"October"
Beginner 1,S4 - Dates and Days,십일월,"November"
Beginner 1,S4 - Dates and Days,십이월,"December"
Beginner 1,S4 - Dates and Days,작년,"Last year"
Beginner 1,S4 - Dates and Days,올해(금년),"This year"
Beginner 1,S4 - Dates and Days,내년,"Next year"
Beginner 1,S4 - Dates and Days,지난달,"Last month"
Beginner 1,S4 - Dates and Days,이번 달,"This month"
Beginner 1,S4 - Dates and Days,다음 달,"Next month"
Beginner 1,S4 - Dates and Days,지난주,"Last week"
Beginner 1,S4 - Dates and Days,이번 주,"This week"
Beginner 1,S4 - Dates and Days,다음 주,"Next week"
Beginner 1,S4 - Dates and Days,평일(주중),"Weekday"
Beginner 1,S4 - Dates and Days,주말,"Weekend"
Beginner 1,S5 - Daily Life,시간,"Time"
Beginner 1,S5 - Daily Life,오전,"AM / Morning"
Beginner 1,S5 - Daily Life,오후,"PM / Afternoon"
Beginner 1,S5 - Daily Life,낮,"Daytime"
Beginner 1,S5 - Daily Life,밤,"Night"
Beginner 1,S5 - Daily Life,점심,"Lunch / Noon"
Beginner 1,S5 - Daily Life,저녁,"Evening / Dinner"
Beginner 1,S5 - Daily Life,새벽,"Dawn"
Beginner 1,S5 - Daily Life,아침,"Morning / Breakfast"
Beginner 1,S5 - Daily Life,일어나다,"Wake up / Get up"
Beginner 1,S5 - Daily Life,이를 닦다,"Brush teeth"
Beginner 1,S5 - Daily Life,세수하다,"Wash face"
Beginner 1,S5 - Daily Life,읽다,"Read"
Beginner 1,S5 - Daily Life,보다,"Watch / See"
Beginner 1,S5 - Daily Life,다니다,"Attend / Commute regularly"
Beginner 1,S5 - Daily Life,배우다,"Learn"
Beginner 1,S5 - Daily Life,숙제하다,"Do homework"
Beginner 1,S5 - Daily Life,청소하다,"Clean"
Beginner 1,S5 - Daily Life,목욕하다,"Take a bath"
Beginner 1,S5 - Daily Life,출근하다,"Go to work"
Beginner 1,S5 - Daily Life,퇴근하다,"Get off work"
Beginner 1,S5 - Daily Life,시작하다,"Start / Begin"
Beginner 1,S5 - Daily Life,끝나다,"Finish / End"
Beginner 1,S5 - Daily Life,자다,"Sleep"
Beginner 1,S5 - Daily Life,하나,"One"
Beginner 1,S5 - Daily Life,둘,"Two"
Beginner 1,S5 - Daily Life,셋,"Three"
Beginner 1,S5 - Daily Life,넷,"Four"
Beginner 1,S5 - Daily Life,다섯,"Five"
Beginner 1,S5 - Daily Life,여섯,"Six"
Beginner 1,S5 - Daily Life,일곱,"Seven"
Beginner 1,S5 - Daily Life,여덟,"Eight"
Beginner 1,S5 - Daily Life,아홉,"Nine"
Beginner 1,S5 - Daily Life,열,"Ten"
Beginner 1,S5 - Daily Life,열하나,"Eleven"
Beginner 1,S5 - Daily Life,열둘,"Twelve"
Beginner 1,S5 - Daily Life,열셋,"Thirteen"
Beginner 1,S5 - Daily Life,열넷,"Fourteen"
Beginner 1,S5 - Daily Life,열다섯,"Fifteen"
Beginner 1,S5 - Daily Life,열여섯,"Sixteen"
Beginner 1,S5 - Daily Life,열일곱,"Seventeen"
Beginner 1,S5 - Daily Life,열여덟,"Eighteen"
Beginner 1,S5 - Daily Life,열아홉,"Nineteen"
Beginner 1,S5 - Daily Life,스물,"Twenty"
Beginner 1,S5 - Daily Life,서른,"Thirty"
Beginner 1,S5 - Daily Life,마흔,"Forty"
Beginner 1,S5 - Daily Life,쉰,"Fifty"
Beginner 1,S5 - Daily Life,예순,"Sixty"
Beginner 1,S5 - Daily Life,일흔,"Seventy"
Beginner 1,S5 - Daily Life,여든,"Eighty"
Beginner 1,S5 - Daily Life,아흔,"Ninety"
Beginner 1,S5 - Daily Life,백,"One hundred"
Beginner 1,S5 - Daily Life,명,"Person (counter)"
Beginner 1,S5 - Daily Life,사람,"Person"
Beginner 1,S5 - Daily Life,시,"Hour / O'clock"
Beginner 1,S5 - Daily Life,분,"Minute"
Beginner 1,S5 - Daily Life,초,"Second"
Beginner 1,S5 - Daily Life,반,"Half"
Beginner 1,S6 - Weekend,무슨,"What"
Beginner 1,S6 - Weekend,어떤,"Which / What kind of"
Beginner 1,S6 - Weekend,어느,"Which"
Beginner 1,S6 - Weekend,등산하다,"Go hiking"
Beginner 1,S6 - Weekend,영화를 보다,"Watch a movie"
Beginner 1,S6 - Weekend,운동하다,"Exercise"
Beginner 1,S6 - Weekend,여행하다,"Travel"
Beginner 1,S6 - Weekend,쇼핑하다,"Shop"
Beginner 1,S6 - Weekend,수영하다,"Swim"
Beginner 1,S6 - Weekend,쉬다,"Rest"
Beginner 1,S6 - Weekend,외식하다,"Eat out"
Beginner 1,S6 - Weekend,친구를 만나다,"Meet a friend"
Beginner 1,S6 - Weekend,산책하다,"Go for a walk"
Beginner 1,S6 - Weekend,소풍가다,"Go on a picnic"
Beginner 1,S6 - Weekend,책을 읽다,"Read a book"
Beginner 1,S7 - Shopping,하나,"One"
Beginner 1,S7 - Shopping,둘,"Two"
Beginner 1,S7 - Shopping,셋,"Three"
Beginner 1,S7 - Shopping,넷,"Four"
Beginner 1,S7 - Shopping,다섯,"Five"
Beginner 1,S7 - Shopping,스물,"Twenty"
Beginner 1,S7 - Shopping,스물하나,"Twenty-one"
Beginner 1,S7 - Shopping,여러,"Several / Many"
Beginner 1,S7 - Shopping,개,"Object (counter)"
Beginner 1,S7 - Shopping,명/사람,"Person (counter)"
Beginner 1,S7 - Shopping,마리,"Animal (counter)"
Beginner 1,S7 - Shopping,잔,"Cup / Glass (counter)"
Beginner 1,S7 - Shopping,대,"Machine / Vehicle (counter)"
Beginner 1,S7 - Shopping,병,"Bottle (counter)"
Beginner 1,S7 - Shopping,켤레,"Pair (shoes/socks counter)"
Beginner 1,S7 - Shopping,권,"Book (counter)"
Beginner 1,S7 - Shopping,장,"Paper / Flat object (counter)"
Beginner 1,S7 - Shopping,과일,"Fruit"
Beginner 1,S7 - Shopping,채소,"Vegetable"
